G1,Α,A,al'-fah,"of Hebrew origin; the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: --Alpha. Often used (usually , before a vowel) also in composition (as a contraction from ἄνευ) in the sense of privation; so, in many words, beginning with this letter; occasionally in the sense of union (as a contraction of ἅμα)."
G2,Ἀαρών,Aarṓn,ah-ar-ohn',"of Hebrew origin (אַהֲרוֹן); Aaron, the brother of Moses:--Aaron."
G3,Ἀβαδδών,Abaddṓn,ab-ad-dohn',of Hebrew origin (אֲבַדּוֹן); a destroying angel:--Abaddon.
G4,ἀβαρής,abarḗs,ab-ar-ace',"from Α (as a negative particle) and βάρος; weightless, i.e. (figuratively) not burdensome:--from being burdensome."
G5,Ἀββᾶ,Abbâ,ab-bah',of Chaldee origin (אַב); father as a vocative:--Abba.
G6,Ἄβελ,Ábel,ab'-el,"of Hebrew origin (הֶבֶל); Abel, the son of Adam:--Abel."
G7,Ἀβιά,Abiá,ab-ee-ah',"of Hebrew origin (אֲבִיָּה); Abijah, the name of two Israelites:--Abia."
G8,Ἀβιαθάρ,Abiathár,ab-ee-ath'-ar,"of Hebrew origin (אֶבְיָתָר); Abiathar, an Israelite:--Abiathar."
G9,Ἀβιληνή,Abilēnḗ,ab-ee-lay-nay',"of foreign origin (compare אָבֵל); Abilene, a region of Syria:--Abilene."
G10,Ἀβιούδ,Abioúd,ab-ee-ood',"of Hebrew origin (אֲבִיהוּד); Abihud, an Israelite:--Abiud."
G11,Ἀβραάμ,Abraám,ab-rah-am',"of Hebrew origin (אַבְרָהָם); Abraham, the Hebrew patriarch:--Abraham. (In Acts 7:16 the text should probably read Jacob.)"
G12,ἄβυσσος,ábyssos,ab'-us-sos,"from Α (as a negative particle) and a variation of βυθός; depthless, i.e. (specially) (infernal) ""abyss"":--deep, (bottomless) pit."
G13,Ἄγαβος,Ágabos,ag'-ab-os,"of Hebrew origin (compare חָגָב); Agabus, an Israelite:--Agabus."
G14,ἀγαθοεργέω,agathoergéō,ag-ath-er-gheh'-o,from ἀγαθός and ἔργον; to work good:--do good.
G15,ἀγαθοποιέω,agathopoiéō,ag-ath-op-oy-eh'-o,from ἀγαθοποιός; to be a well-doer (as a favor or a duty):--(when) do good (well).
G16,ἀγαθοποιΐα,agathopoiḯa,ag-ath-op-oy-ee'-ah,"from ἀγαθοποιός; well-doing, i.e. virtue:--well-doing."
G17,ἀγαθοποιός,agathopoiós,ag-ath-op-oy-os',"from ἀγαθός and ποιέω; a well-doer, i.e. virtuous:--them that do well."
G18,ἀγαθός,agathós,ag-ath-os',"a primary word; ""good"" (in any sense, often as noun):--benefit, good(-s, things), well. Compare καλός."
G19,ἀγαθωσύνη,agathōsýnē,ag-ath-o-soo'-nay,"from ἀγαθός; goodness, i.e. virtue or beneficence:--goodness."
G20,ἀγαλλίασις,agallíasis,ag-al-lee'-as-is,"from ἀγαλλιάω; exultation; specially, welcome:--gladness, (exceeding) joy."
G21,ἀγαλλιάω,agalliáō,ag-al-lee-ah'-o,"from agan (much) and ἅλλομαι; properly, to jump for joy, i.e. exult:--be (exceeding) glad, with exceeding joy, rejoice (greatly)."
G22,ἄγαμος,ágamos,ag'-am-os,from Α (as a negative particle) and γάμος; unmarried:--unmarried.
G23,ἀγανακτέω,aganaktéō,ag-an-ak-teh'-o,"from  (much) and  (grief; akin to the base of ἀγκάλη); to be greatly afflicted, i.e. (figuratively) indignant:--be much (sore) displeased, have (be moved with, with) indignation."
G24,ἀγανάκτησις,aganáktēsis,ag-an-ak'-tay-sis,from ἀγανακτέω; indignation:--indignation.
